=== Loop @ 0x004587FF  Table 0x00835A50  Count=4 ===
    0: 0x004586D0  PlaySound
    1: 0x00458720  PlayMusic
    2: 0x00458780  PlaySoundFile
    3: 0x00458770  StopMusic

=== Loop @ 0x0046DDFF  Table 0x008373B8  Count=60 ===
    0: 0x0046CD70  GetBuildInfo
    1: 0x0046CE40  GetLocale
    2: 0x0046CDD0  GetSavedAccountName
    3: 0x0046CDF0  SetSavedAccountName
    4: 0x0046CE60  SetCurrentScreen
    5: 0x0046CEA0  QuitGame
    6: 0x0046CEB0  PlayGlueMusic
    7: 0x0046CEF0  PlayCreditsMusic
    8: 0x0046CF00  StopGlueMusic
    9: 0x0046CF10  GetMovieResolution
   10: 0x0046DD30  GetScreenWidth
   11: 0x0046DD80  GetScreenHeight
   12: 0x0046CF60  LaunchURL
   13: 0x0046CFA0  ShowTOSNotice
   14: 0x0046CFD0  TOSAccepted
   15: 0x0046D000  AcceptTOS
   16: 0x0046D010  ShowEULANotice
   17: 0x0046D040  EULAAccepted
   18: 0x0046D070  AcceptEULA
   19: 0x0046D080  ShowScanningNotice
   20: 0x0046D0B0  ScanningAccepted
   21: 0x0046D0E0  AcceptScanning
   22: 0x0046D0F0  ShowContestNotice
   23: 0x0046D120  ContestAccepted
   24: 0x0046D150  AcceptContest
   25: 0x0046D160  DefaultServerLogin
   26: 0x0046D270  StatusDialogClick
   27: 0x0046D280  GetServerName
   28: 0x0046D340  DisconnectFromServer
   29: 0x0046D380  IsConnectedToServer
   30: 0x0046D3C0  EnterWorld
   31: 0x0046D3D0  Screenshot
   32: 0x0046D3E0  PatchDownloadProgress
   33: 0x0046D400  PatchDownloadCancel
   34: 0x0046D410  PatchDownloadApply
   35: 0x0046D420  GetNumAddOns
   36: 0x0046D460  GetAddOnInfo
   37: 0x0046D5E0  LaunchAddOnURL
   38: 0x0046D650  GetAddOnDependencies
   39: 0x0046D6F0  GetAddOnEnableState
   40: 0x0046D7B0  EnableAddOn
   41: 0x0046D850  EnableAllAddOns
   42: 0x0046D8A0  DisableAddOn
   43: 0x0046D940  DisableAllAddOns
   44: 0x0046D990  SaveAddOns
   45: 0x0046D9A0  ResetAddOns
   46: 0x0046D9B0  IsAddonVersionCheckEnabled
   47: 0x0046D9E0  SetAddonVersionCheck
   48: 0x0046DA10  GetScriptMemory
   49: 0x0046DA50  SetScriptMemory
   50: 0x0046DAD0  GetCursorPosition
   51: 0x0046DB60  ShowCursor
   52: 0x0046DB70  HideCursor
   53: 0x0046DB80  SetMovieSubtitles
   54: 0x0046DBC0  GetMovieSubtitles
   55: 0x0046DBF0  GetBillingTimeRemaining
   56: 0x0046DC40  GetBillingPlan
   57: 0x0046DCF0  GetBillingTimeRested
   58: 0x0046DDD0  SurveyNotificationDone
   59: 0x0046D1C0  PINEntered

=== Loop @ 0x0046F48F  Table 0x00837EA0  Count=10 ===
    0: 0x0046ECF0  RequestRealmList
    1: 0x0046ED10  CancelRealmListQuery
    2: 0x0046ED30  GetNumRealms
    3: 0x0046EE40  GetRealmInfo
    4: 0x0046F0E0  ChangeRealm
    5: 0x0046F1F0  GetRealmCategories
    6: 0x0046F2C0  SetPreferredInfo
    7: 0x0046F330  SortRealms
    8: 0x0046F400  GetSelectedCategory
    9: 0x0046ED20  RealmListDialogCancelled

=== Loop @ 0x00471A2F  Table 0x008380F8  Count=24 ===
    0: 0x00471330  SetCharCustomizeFrame
    1: 0x004713A0  SetCharCustomizeBackground
    2: 0x004713E0  ResetCharCustomize
    3: 0x004713F0  GetNameForRace
    4: 0x00471450  GetFactionForRace
    5: 0x00471520  GetAvailableRaces
    6: 0x00471560  GetClassesForRace
    7: 0x004715D0  GetHairCustomization
    8: 0x00471620  GetFacialHairCustomization
    9: 0x00471680  GetSelectedRace
   10: 0x004716B0  GetSelectedSex
   11: 0x004716E0  GetSelectedClass
   12: 0x00471740  SetSelectedRace
   13: 0x00471780  SetSelectedSex
   14: 0x004717C0  SetSelectedClass
   15: 0x00471800  UpdateCustomizationBackground
   16: 0x00471810  UpdateCustomizationScene
   17: 0x00471820  HasCharCustomization
   18: 0x00471890  CycleCharCustomization
   19: 0x00471900  RandomizeCharCustomization
   20: 0x00471910  GetCharacterCreateFacing
   21: 0x00471930  SetCharacterCreateFacing
   22: 0x00471980  GetRandomName
   23: 0x004719E0  CreateCharacter

=== Loop @ 0x004736CF  Table 0x00838578  Count=11 ===
    0: 0x004731C0  SetCharSelectModelFrame
    1: 0x00473230  SetCharSelectBackground
    2: 0x00473270  GetCharacterListUpdate
    3: 0x00473280  GetNumCharacters
    4: 0x004732A0  GetCharacterInfo
    5: 0x00473470  SelectCharacter
    6: 0x004734C0  DeleteCharacter
    7: 0x00473520  RenameCharacter
    8: 0x00473640  UpdateSelectionCustomizationScene
    9: 0x00473650  GetCharacterSelectFacing
   10: 0x00473670  SetCharacterSelectFacing

=== Loop @ 0x00490282  Table 0x0083DE68  Count=216 ===
    0: 0x00488440  FrameXML_Debug
    1: 0x004884A0  GetBuildInfo
    2: 0x004884D0  ReloadUI
    3: 0x004884E0  RegisterForSave
