=== Table 0x00AC3E00  Count=113 ===
    0: 0x004DBE10  IsShiftKeyDown
    1: 0x004DBE60  GetBuildInfo
    2: 0x004DBFD0  GetLocale
    3: 0x004DD5D0  GetSavedAccountName
    4: 0x004DBEC0  SetSavedAccountName
    5: 0x004DBF10  GetUsesToken
    6: 0x004DBF30  SetUsesToken
    7: 0x004DD5F0  GetSavedAccountList
    8: 0x004DBF80  SetSavedAccountList
    9: 0x004DC000  SetCurrentScreen
   10: 0x004DC050  QuitGame
   11: 0x004DC060  QuitGameAndRunLauncher
   12: 0x004DC070  PlayGlueMusic
   13: 0x004DC150  PlayCreditsMusic
   14: 0x004DC1A0  StopGlueMusic
   15: 0x004DD610  GetMovieResolution
   16: 0x004DCC20  GetScreenWidth
   17: 0x004DCC70  GetScreenHeight
   18: 0x004DC1C0  LaunchURL
   19: 0x004DD680  ShowTOSNotice
   20: 0x004DD6C0  TOSAccepted
   21: 0x004DC210  AcceptTOS
   22: 0x004DD700  ShowEULANotice
   23: 0x004DD740  EULAAccepted
   24: 0x004DC220  AcceptEULA
   25: 0x004DD780  ShowTerminationWithoutNoticeNotice
   26: 0x004DD7C0  TerminationWithoutNoticeAccepted
   27: 0x004DC230  AcceptTerminationWithoutNotice
   28: 0x004DD800  ShowScanningNotice
   29: 0x004DD840  ScanningAccepted
   30: 0x004DC240  AcceptScanning
   31: 0x004DD880  ShowContestNotice
   32: 0x004DD8C0  ContestAccepted
   33: 0x004DC250  AcceptContest
   34: 0x004DC260  DefaultServerLogin
   35: 0x004DC500  StatusDialogClick
   36: 0x004DD900  GetServerName
   37: 0x004DDA10  DisconnectFromServer
   38: 0x004DDA50  IsConnectedToServer
   39: 0x004DC510  EnterWorld
   40: 0x004DC520  Screenshot
   41: 0x004DDA90  PatchDownloadProgress
   42: 0x004DC540  PatchDownloadCancel
   43: 0x004DC550  PatchDownloadApply
   44: 0x00511200  GetNumAddOns
   45: 0x004DC560  GetAddOnInfo
   46: 0x004DC720  LaunchAddOnURL
   47: 0x004DDAC0  GetAddOnDependencies
   48: 0x004DC7C0  GetAddOnEnableState
   49: 0x004DC8A0  EnableAddOn
   50: 0x004DC960  EnableAllAddOns
   51: 0x004DC9B0  DisableAddOn
   52: 0x004DCA70  DisableAllAddOns
   53: 0x004DCAC0  SaveAddOns
   54: 0x004DCAD0  ResetAddOns
   55: 0x004DCAE0  IsAddonVersionCheckEnabled
   56: 0x004DCB20  SetAddonVersionCheck
   57: 0x004DCB60  GetCursorPosition
   58: 0x004DDB90  ShowCursor
   59: 0x004DDBB0  HideCursor
   60: 0x004DDBD0  GetBillingTimeRemaining
   61: 0x004DDC60  GetBillingPlan
   62: 0x00511C40  GetBillingTimeRested
   63: 0x004DCCC0  SurveyNotificationDone
   64: 0x004DC2D0  PINEntered
   65: 0x004DC0C0  PlayGlueAmbience
   66: 0x004DC130  StopGlueAmbience
   67: 0x004DCD60  GetCreditsText
   68: 0x004DDC20  GetAccountExpansionLevel
   69: 0x004DCBF0  GetClientExpansionLevel
   70: 0x004DC3A0  MatrixEntered
   71: 0x004DC420  MatrixRevert
   72: 0x004DC430  MatrixCommit
   73: 0x004DC440  GetMatrixCoordinates
   74: 0x004DCCF0  ScanDLLStart
   75: 0x004DCDF0  ScanDLLContinueAnyway
   76: 0x004DCE00  IsScanDLLFinished
   77: 0x004DCE40  IsWindowsClient
   78: 0x00510B90  IsMacClient
   79: 0x00510B90  IsLinuxClient
   80: 0x004DE250  SetRealmSplitState
   81: 0x004DE2E0  RequestRealmSplitInfo
   82: 0x004DCE60  CancelLogin
   83: 0x004DDD10  GetCVar
   84: 0x004DDD90  GetCVarBool
   85: 0x004DCE70  SetCVar
   86: 0x004DDE10  GetCVarDefault
   87: 0x004DDEA0  GetCVarMin
   88: 0x004DDF80  GetCVarMax
   89: 0x004DE090  GetCVarAbsoluteMin
   90: 0x004DE130  GetCVarAbsoluteMax
   91: 0x004DE1F0  GetChangedOptionWarnings
   92: 0x004DCF20  AcceptChangedOptionWarnings
   93: 0x004DCF30  ShowChangedOptionWarnings
   94: 0x004DC4D0  TokenEntered
   95: 0x004DCF70  GetNumDeclensionSets
   96: 0x004DD020  DeclineName
   97: 0x004DD130  GetNumGameAccounts
   98: 0x004DD1C0  GetGameAccountInfo
   99: 0x004DD2B0  SetGameAccount
  100: 0x004DD380  StopAllSFX
  101: 0x004DD3B0  SetClearConfigData
  102: 0x004DD400  RestartGx
  103: 0x00510DC0  RestoreVideoResolutionDefaults
  104: 0x00510DD0  RestoreVideoEffectsDefaults
  105: 0x004DD420  RestoreVideoStereoDefaults
