=== Table 0x00AC1028  Count=29 ===
    0: 0x0048BE30  IsObjectType
    1: 0x0048BDE0  GetObjectType
    2: 0x0048BEE0  GetDrawLayer
    3: 0x0048BF30  SetDrawLayer
    4: 0x0048BFF0  GetBlendMode
    5: 0x0048C040  SetBlendMode
    6: 0x0048C0E0  GetVertexColor
    7: 0x0048C1C0  SetVertexColor
    8: 0x0048C240  SetGradient
    9: 0x0048C310  SetGradientAlpha
   10: 0x0048C3E0  SetAlpha
   11: 0x0048C4C0  GetAlpha
   12: 0x0048C530  Show
   13: 0x0048C570  Hide
   14: 0x0048C5B0  IsVisible
   15: 0x0048C610  IsShown
   16: 0x0048C670  GetTexture
   17: 0x0048C6F0  SetTexture
   18: 0x0048C7F0  GetTexCoord
   19: 0x0048E170  SetTexCoord
   20: 0x0048C860  SetRotation
   21: 0x0048C9A0  SetDesaturated
   22: 0x0048CA30  IsDesaturated
   23: 0x0048CAA0  SetNonBlocking
   24: 0x0048CB00  GetNonBlocking
   25: 0x0048CB60  SetHorizTile
   26: 0x0048CBC0  GetHorizTile
   27: 0x0048CC30  SetVertTile
   28: 0x0048CC90  GetVertTile

=== Table 0x00AC1118  Count=41 ===
    0: 0x0048CD70  IsObjectType
    1: 0x0048CD20  GetObjectType
    2: 0x0048CE20  GetDrawLayer
    3: 0x0048CE70  SetDrawLayer
    4: 0x0048CF30  SetVertexColor
    5: 0x0048CFC0  GetAlpha
    6: 0x0048D030  SetAlpha
    7: 0x0048D0F0  SetAlphaGradient
    8: 0x0048D1C0  Show
    9: 0x0048D200  Hide
   10: 0x0048D240  IsVisible
   11: 0x0048D2A0  IsShown
   12: 0x0048D300  GetFontObject
   13: 0x0048D380  SetFontObject
   14: 0x0048D510  GetFont
   15: 0x0048D5B0  SetFont
   16: 0x0048D730  GetText
   17: 0x0048BC70  GetFieldSize
   18: 0x0048D780  SetText
   19: 0x0048D800  SetFormattedText
   20: 0x0048D890  GetTextColor
   21: 0x0048D970  SetTextColor
   22: 0x0048D9E0  GetShadowColor
   23: 0x0048DAB0  SetShadowColor
   24: 0x0048DB20  GetShadowOffset
   25: 0x0048DBB0  SetShadowOffset
   26: 0x0048DCA0  GetSpacing
   27: 0x0048DD00  SetSpacing
   28: 0x0048DDB0  SetTextHeight
   29: 0x0048DE90  GetStringWidth
   30: 0x0048DF00  GetStringHeight
   31: 0x0048DF70  GetJustifyH
   32: 0x0048E360  SetJustifyH
   33: 0x0048DFC0  GetJustifyV
   34: 0x0048E430  SetJustifyV
   35: 0x0048E010  CanNonSpaceWrap
   36: 0x0048E500  SetNonSpaceWrap
   37: 0x0048E080  CanWordWrap
   38: 0x0048E580  SetWordWrap
   39: 0x0048E600  GetIndentedWordWrap
   40: 0x0048E0E0  SetIndentedWordWrap

